"time","tech","value"
2030,"Geothermal",0.0127414757628432
2030,"Biopower",0.0105536530480007
2030,"Land-based Wind",0.181517909906623
2030,"Offshore Wind",2.58737717440194e-05
2030,"CSP",0.00123788390061846
2030,"Utility PV",0.122358420569841
2030,"Rooftop PV",0.0210779681802742
2032,"Nuclear",0.160517024310233
2032,"Coal",0.169869917643258
2032,"Oil-Gas-Steam",0
2032,"NG-CC",0.181107990255439
2032,"NG-CT",0.000867683230843586
2032,"Hydro",0.0678037490356275
2032,"Imports",0.0117457443877072
2032,"Geothermal",0.012614265828772
2032,"Biopower",0.0104669028112646
2032,"Land-based Wind",0.227745391395841
2032,"Offshore Wind",2.55739568314754e-05
2032,"CSP",0.00122947342245438
2032,"Utility PV",0.131987801183045
2032,"Rooftop PV",0.0240184825386841
2034,"Nuclear",0.153871572427636
2034,"Coal",0.121961028139671
2034,"Oil-Gas-Steam",0
2034,"NG-CC",0.178033319584622
2034,"NG-CT",0.00101347872029686
2034,"Hydro",0.0669171773258692
2034,"Imports",0.0114719093804858
2034,"Geothermal",0.0124223171919526
2034,"Biopower",0.010322988933725
2034,"Land-based Wind",0.271089916636697
2034,"Offshore Wind",2.50819378832294e-05
2034,"CSP",0.00120657251991787
2034,"Utility PV",0.144551571589985
2034,"Rooftop PV",0.0271130656112577
2036,"Nuclear",0.14004638020308
2036,"Coal",0.0931777752923092
2036,"Oil-Gas-Steam",0
2036,"NG-CC",0.164403521604649
2036,"NG-CT",0.00156003403358116
2036,"Hydro",0.0658532716064958
2036,"Imports",0.0109688700810026
2036,"Geothermal",0.0121900652270112
2036,"Biopower",0.0107141987500755
2036,"Land-based Wind",0.311969052144064
2036,"Offshore Wind",2.47336442081401e-05
2036,"CSP",0.0011985636847322
2036,"Utility PV",0.157024763310196
2036,"Rooftop PV",0.030868770418595
2038,"Nuclear",0.123600012544576
2038,"Coal",0.0670567965660074
2038,"Oil-Gas-Steam",0
2038,"NG-CC",0.154534947735915
2038,"NG-CT",0.00262500279984559
2038,"Hydro",0.0646871257888206
2038,"Imports",0.0106664323054327
2038,"Geothermal",0.0119589200079084
2038,"Biopower",0.0112002673645076
2038,"Land-based Wind",0.351083024435411
2038,"Offshore Wind",2.41951172203732e-05
2038,"CSP",0.00117294615960939
2038,"Utility PV",0.167033359397585
2038,"Rooftop PV",0.0343569697771604
2040,"Nuclear",0.108359064235529
2040,"Coal",0.043986827729963
2040,"Oil-Gas-Steam",0
2040,"NG-CC",0.145602139820582
2040,"NG-CT",0.00360705257201895
2040,"Hydro",0.0634333710470877
2040,"Imports",0.0103775608081134
2040,"Geothermal",0.0117268571266317
2040,"Biopower",0.0109717322439905
2040,"Land-based Wind",0.382870543424466
2040,"Offshore Wind",1.83256452031003e-09
2040,"CSP",0.00114627687681187
2040,"Utility PV",0.180379190786795
2040,"Rooftop PV",0.0375393814954457
2042,"Nuclear",0.0922048753925734
2042,"Coal",0.0266977401241685
2042,"Oil-Gas-Steam",0
2042,"NG-CC",0.138849552107102
2042,"NG-CT",0.00356987787172839
2042,"Hydro",0.062930049990802
2042,"Imports",0.0102357446222125
2042,"Geothermal",0.0115370848828899
2042,"Biopower",0.0114786542226104
2042,"Land-based Wind",0.40228466570281
2042,"Offshore Wind",0
2042,"CSP",0.00113036894876626
2042,"Utility PV",0.198152824278627
2042,"Rooftop PV",0.0409285618557105
2044,"Nuclear",0.077602046005853
2044,"Coal",0.0186084071593654
2044,"Oil-Gas-Steam",0
2044,"NG-CC",0.129961446449226
2044,"NG-CT",0.0031954216494029
2044,"Hydro",0.0619273141199177
2044,"Imports",0.0100714188009256
2044,"Geothermal",0.0113498231601404
2044,"Biopower",0.0111387258621412
2044,"Land-based Wind",0.41903628366861
2044,"Offshore Wind",0
2044,"CSP",0.000868028003574455
2044,"Utility PV",0.212750744689866
2044,"Rooftop PV",0.043490340430977
2046,"Nuclear",0.0609344313720474
2046,"Coal",0.0124800772613873
2046,"Oil-Gas-Steam",0
2046,"NG-CC",0.129102375212041
2046,"NG-CT",0.00311751284022222
2046,"Hydro",0.061009416205767
2046,"Imports",0.00992213839951808
2046,"Geothermal",0.0111775081275382
2046,"Biopower",0.0108895490954766
2046,"Land-based Wind",0.425679154849533
2046,"Offshore Wind",2.42835219615638e-05
2046,"CSP",0.000755441987575526
2046,"Utility PV",0.228814204316943
2046,"Rooftop PV",0.0460939068099883
2048,"Nuclear",0.0523561606942146
2048,"Coal",0.00830112120483365
2048,"Oil-Gas-Steam",0
2048,"NG-CC",0.125698767227244
2048,"NG-CT",0.00415283690660048
2048,"Hydro",0.0601420285441798
2048,"Imports",0.00978107262705968
2048,"Geothermal",0.0110083837384031
2048,"Biopower",0.0106483129574808
2048,"Land-based Wind",0.433788742663417
2048,"Offshore Wind",2.40279493282216e-05
2048,"CSP",0.000752936329535186
2048,"Utility PV",0.235293176202228
2048,"Rooftop PV",0.0480524329554766
2050,"Nuclear",0.0488552784216366
2050,"Coal",0.00761921286118597
2050,"Oil-Gas-Steam",0
2050,"NG-CC",0.124788037424131
2050,"NG-CT",0.00492129916419467
2050,"Hydro",0.059275718837881
2050,"Imports",0.00964018216559792
2050,"Geothermal",0.0108588978285928
2050,"Biopower",0.0104764570766538
2050,"Land-based Wind",0.438183030203635
2050,"Offshore Wind",2.36462889029926e-05
2050,"CSP",0.000747760006852533
2050,"Utility PV",0.234699121860075
2050,"Rooftop PV",0.0499113578606617
