"time","value"
2010,85525.0309827451
2012,87418.1617557608
2014,89167.3421944728
2016,89720.7402963921
2018,89727.9636037011
2020,89965.9384990007
2022,90602.8235987827
2024,90975.1111616672
2026,91305.9479608615
2028,91801.5340806887
2030,92150.3295715011
2032,92574.5882409734
2034,92851.7810096638
2036,93395.3099859615
2038,94043.7510975311
2040,94892.9986939442
2042,96213.1666524391
2044,97553.7648047286
2046,99902.8413724956
2048,103709.497151547
2050,105472.611945502
