"time","value"
2010,85525.0309827451
2012,87418.1617557608
2014,89167.3421944728
2016,89720.7402963921
2018,89729.5653296087
2020,90024.7222022353
2022,90595.7091474433
2024,90878.3121887107
2026,91375.2345139694
2028,91584.2621294294
2030,91860.2555888788
2032,92342.1057083546
2034,92748.5214361273
2036,93328.6913440439
2038,93852.7753082426
2040,94882.9892926251
2042,95806.3706003859
2044,96770.4893053644
2046,97984.2091983001
2048,100512.988436233
2050,102928.570969595
