"time","gid","value"
2010,"AL",0.0554722079305282
2010,"AR",0.0190258233601655
2010,"AZ",0.0517073446619692
2010,"CA",0.0582598572072974
2010,"CO",0.0433188353760076
2010,"CT",0.00522161804106596
2010,"DE",0.00511044211376748
2010,"FL",0.107988081358236
2010,"GA",0.0652306714834007
2010,"IA",0.0472172857986767
2010,"ID",0.000147665923022853
2010,"IL",0.0931359742242254
2010,"IN",0.0976767383334664
2010,"KS",0.0246764796155143
2010,"KY",0.104122658606161
2010,"LA",0.0318900970926821
2010,"MA",0.0148331638810158
2010,"MD",0.035772281267042
2010,"ME",0.00347585828980581
2010,"MEX",0.00299162935163021
2010,"MI",0.0756341502040813
2010,"MN",0.0344822106492648
2010,"MO",0.070866307455702
2010,"MS",0.022745672542914
2010,"MT",0.0204100122301556
2010,"NC",0.0769098675406819
2010,"ND",0.0329579734707861
2010,"NE",0.0292105871500771
2010,"NH",0.00439204392874844
2010,"NJ",0.0183728546591071
2010,"NM",0.031827165490694
2010,"NV",0.013222201052769
2010,"NY",0.0368038546211582
2010,"OH",0.136145355277634
2010,"OK",0.039352733169307
2010,"OR",0.00818364923646143
2010,"PA",0.131674744616773
2010,"RI",0.00324286388742877
2010,"SC",0.0395414766146103
2010,"SD",0.0038193691035607
2010,"TN",0.0221260842569313
2010,"TX",0.241869323795088
2010,"UT",0.0372423987214478
2010,"VA",0.0459628353876998
2010,"VT",0.00192808443613845
2010,"WA",0.0141904018654174
2010,"WI",0.0526623436658355
2010,"WV",0.0754489373392362
2010,"WY",0.0463070702481616
2012,"AL",0.0358120612592007
2012,"AR",0.015844229580214
2012,"AZ",0.0533196434870079
2012,"CA",0.0442924900283399
2012,"CO",0.0404519790874978
2012,"CT",0.00649803414239388
2012,"DE",0.00471986222177024
2012,"FL",0.0837836581381074
2012,"GA",0.0390664208857148
2012,"IA",0.0460040865550835
2012,"ID",0.000828367542534086
2012,"IL",0.0729180399840033
2012,"IN",0.0788229309922191
2012,"KS",0.0140966111437188
2012,"KY",0.101045677991168
2012,"LA",0.0245078514985442
2012,"MA",0.00879541222048846
2012,"MD",0.027819983982789
2012,"ME",0.00246339048674196
2012,"MEX",0.000777976356077462
2012,"MI",0.0722781659982895
2012,"MN",0.0352759898740026
2012,"MO",0.0630462222427722
2012,"MS",0.0228490951575937
2012,"MT",0.0132406168749391
2012,"NC",0.049326487980833
2012,"ND",0.0324970214884584
2012,"NE",0.0304375241090036
2012,"NH",0.0019531861211927
2012,"NJ",0.0176531674893625
2012,"NM",0.0321132979669747
2012,"NV",0.0159294803747139
2012,"NY",0.0322502210420983
2012,"OH",0.115758117656374
2012,"OK",0.0310799188314581
2012,"OR",0.00433610472710442
2012,"PA",0.113169735123529
2012,"RI",0.0025875877061654
2012,"SC",0.0171789698966151
2012,"SD",0.0038463847233493
2012,"TN",0.0088834658571848
2012,"TX",0.22453480496183
2012,"UT",0.0380649744391868
2012,"VA",0.0329635526060632
2012,"VT",0.00160447217260726
2012,"WA",0.0066664235768727
2012,"WI",0.0455486127539983
2012,"WV",0.0740253920683642
2012,"WY",0.0402445680362992
2014,"AL",0.0420150761122632
2014,"AR",0.0167081249358864
2014,"AZ",0.0530991706832819
2014,"CA",0.0569513873362737
2014,"CO",0.0400528628104319
2014,"CT",0.0101348801443026
2014,"DE",0.00315287333060012
2014,"FL",0.0922746528714619
2014,"GA",0.0574380979568565
2014,"IA",0.0446108573827461
2014,"ID",0.0011406714108845
2014,"IL",0.0798252252782785
2014,"IN",0.0969545753632569
2014,"KS",0.0112718417121772
2014,"KY",0.0997451890359334
2014,"LA",0.0282304092353004
2014,"MA",0.0100921089263689
2014,"MD",0.0173240754081398
2014,"ME",0.00113001238674416
2014,"MEX",0.00144442727161052
2014,"MI",0.0722441046931395
2014,"MN",0.0340085799685256
2014,"MO",0.0689223884084869
2014,"MS",0.0238293573659716
2014,"MT",0.0185525988443279
2014,"NC",0.0647781024001586
2014,"ND",0.0273840370810871
2014,"NE",0.0299317093629728
2014,"NH",0.00448116752170982
2014,"NJ",0.0196511047394251
2014,"NM",0.0280740871731852
2014,"NV",0.0117404783474604
2014,"NY",0.0336579405949753
2014,"OH",0.125698892861264
2014,"OK",0.0261469045628493
2014,"OR",0.00551168729192177
2014,"PA",0.108866499002054
2014,"RI",0.000765936576027154
2014,"SC",0.029503285485151
2014,"SD",0.00371313634891719
2014,"TN",0.0157881551602686
2014,"TX",0.227387907780124
2014,"UT",0.0384438170605506
2014,"VA",0.0345225690211056
2014,"VT",0.00181491462841862
2014,"WA",0.013340963823618
2014,"WI",0.050100447271403
2014,"WV",0.0948229166732434
2014,"WY",0.0460837753045965
2016,"AL",0.0382328850913614
2016,"AR",0.0185173841603358
2016,"AZ",0.0455487606222303
2016,"CA",0.057683678176477
2016,"CO",0.0378650219128067
2016,"CT",0.00776014018294516
2016,"DE",0.00415215927073381
2016,"FL",0.0928743557924391
2016,"GA",0.0504779212192687
2016,"IA",0.039516094323764
2016,"ID",0.00076604670057122
2016,"IL",0.057569851502263
2016,"IN",0.0776691046963632
2016,"KS",0.00644304942658289
2016,"KY",0.0822419301129457
2016,"LA",0.0263590995169291
2016,"MA",0.00584743966884686
2016,"MD",0.0141902302439618
2016,"ME",0.00163688436816498
2016,"MEX",0.00182372555154894
2016,"MI",0.0635623609538111
2016,"MN",0.0315137405170487
2016,"MO",0.0590406236849594
2016,"MS",0.0253729896881546
2016,"MT",0.00460588055745412
2016,"NC",0.0726632800417266
2016,"ND",0.0186533106834719
2016,"NE",0.0253440441550092
2016,"NH",0.00199434351513759
2016,"NJ",0.0235645224181293
2016,"NM",0.0265152971675609
2016,"NV",0.0115812114162157
2016,"NY",0.02802747602485
2016,"OH",0.109273326297594
2016,"OK",0.0204543270618063
2016,"OR",0.00321990641881024
2016,"PA",0.0795253233267586
2016,"RI",0.00154944615148155
2016,"SC",0.0203112120447895
2016,"SD",0.00413983643908638
2016,"TN",0.0174527150350087
2016,"TX",0.15715760472336
2016,"UT",0.0356956545652441
2016,"VA",0.0244417780086762
2016,"VT",0.00169229659150578
2016,"WA",0.00657930165316442
2016,"WI",0.0499346270616899
2016,"WV",0.0814095457103994
2016,"WY",0.0277953219880873
2018,"AL",0.0363117792345004
2018,"AR",0.016138873504944
2018,"AZ",0.0488999641540595
2018,"CA",0.0401954134419128
2018,"CO",0.0370937919096135
2018,"CT",0.0069305047344181
2018,"DE",0.00354706988746391
2018,"FL",0.0833985144992122
2018,"GA",0.0484585460578921
2018,"IA",0.0385033665414039
2018,"ID",0.000332760830491282
2018,"IL",0.0598197875674316
2018,"IN",0.0764160623778409
2018,"KS",0.00810914708491562
2018,"KY",0.0820441462106539
2018,"LA",0.0262599019777979
2018,"MA",0.00574823266300025
2018,"MD",0.0152624229585925
2018,"ME",0.00111412717530549
2018,"MEX",0.000501444845662517
2018,"MI",0.0628804613619315
2018,"MN",0.0296879665164193
2018,"MO",0.0625879593001166
2018,"MS",0.0215438898150087
2018,"MT",0.013972524882252
2018,"NC",0.0567510566424454
2018,"ND",0.0160349117695671
2018,"NE",0.0249973390369049
2018,"NH",0.00175627941913326
2018,"NJ",0.0276323270362131
2018,"NM",0.0216647403707457
2018,"NV",0.00947552489165484
2018,"NY",0.0282205070745972
2018,"OH",0.0935648328225071
2018,"OK",0.012597234700522
2018,"OR",0.00514855095601551
2018,"PA",0.0838492413912943
2018,"RI",0.00115168397959129
2018,"SC",0.0214175499382997
2018,"SD",0.00388386669109461
2018,"TN",0.019412190958946
2018,"TX",0.174369979031752
2018,"UT",0.0379045679962293
2018,"VA",0.0201912262971081
2018,"VT",0.00149009524620303
2018,"WA",0.0122627855924992
2018,"WI",0.0490853345136217
2018,"WV",0.0813459721156679
2018,"WY",0.0431970344477285
2020,"AL",0.0317071739890983
2020,"AR",0.0132649702953932
2020,"AZ",0.0414591633381507
2020,"CA",0.0362413017763836
2020,"CO",0.0311985038272311
2020,"CT",0.00787407664884752
2020,"DE",0.00317104166740064
2020,"FL",0.0920545177733845
2020,"GA",0.0506370271919489
2020,"IA",0.0381530727426773
2020,"ID",0.000414958998319859
2020,"IL",0.0636986011931405
2020,"IN",0.0835718388219136
2020,"KS",0.00652807467349636
2020,"KY",0.0830522681950327
2020,"LA",0.028049670958672
2020,"MA",0.0048340176419633
2020,"MD",0.0184592259506462
2020,"ME",0.00126836644232214
2020,"MEX",0.000484072942244349
2020,"MI",0.0617963499872016
2020,"MN",0.0286871969913213
2020,"MO",0.064521245711308
2020,"MS",0.0165628036460942
2020,"MT",0.0118144120212455
2020,"NC",0.0590963202710115
2020,"ND",0.0108144046569553
2020,"NE",0.0249070084343714
2020,"NH",0.00153283701182052
2020,"NJ",0.0152240386202412
2020,"NM",0.0198086039389251
2020,"NV",0.0068311568581923
2020,"NY",0.0311963920236617
2020,"OH",0.0901724675900786
2020,"OK",0.0184848202290311
2020,"OR",0.00143094092984749
2020,"PA",0.093779437807238
2020,"RI",0.00112413697172301
2020,"SC",0.0263511938486965
2020,"SD",0.00197614075660667
2020,"TN",0.0238906294164208
2020,"TX",0.188641827468451
2020,"UT",0.0376338593593778
2020,"VA",0.0264599081021134
2020,"VT",0.00145935243363409
2020,"WA",0.00606772376352171
2020,"WI",0.0507126593342567
2020,"WV",0.0813986471997062
2020,"WY",0.0338460016861343
2022,"AL",0.0327567650747488
2022,"AR",0.0142591146678633
2022,"AZ",0.0416835837443034
2022,"CA",0.0361841876107352
2022,"CO",0.0344262129761504
2022,"CT",0.00802089071740891
2022,"DE",0.00342234014200572
2022,"FL",0.0920667938919425
2022,"GA",0.0523462929756603
2022,"IA",0.0402551080349785
2022,"ID",0.000434530733982049
2022,"IL",0.0636237488113462
2022,"IN",0.102762486114787
2022,"KS",0.00863777066391139
2022,"KY",0.08009880751543
2022,"LA",0.0312544722963969
2022,"MA",0.00350894770426104
2022,"MD",0.0219330584025185
2022,"ME",0.00125086986500737
2022,"MEX",0.000484072942244349
2022,"MI",0.0508701806532568
2022,"MN",0.0287418365860042
2022,"MO",0.0587316303853906
2022,"MS",0.0166661981804031
2022,"MT",0.0111617970816784
2022,"NC",0.0633723766388875
2022,"ND",0.0130289357795079
2022,"NE",0.0239728966684434
2022,"NH",0.00207249107071551
2022,"NJ",0.0135120520059821
2022,"NM",0.0201507821445428
2022,"NV",0.00699470765462919
2022,"NY",0.0280134339074108
2022,"OH",0.0964693649724659
2022,"OK",0.0190530816015779
2022,"OR",0.00149254371532929
2022,"PA",0.0991547278740619
2022,"RI",0.00101111090607026
2022,"SC",0.0264722190230076
2022,"SD",0.00354632875909431
2022,"TN",0.0213092056715825
2022,"TX",0.178999054573658
2022,"UT",0.0375784092371098
2022,"VA",0.0289127168630816
2022,"VT",0.00168630407662085
2022,"WA",0.00641783445284564
2022,"WI",0.0508340986804185
2022,"WV",0.0814139267990243
2022,"WY",0.0332943305199408
