"gid","time","tech","value"
"AL",2044,"Nuclear",0.296092639928461
"AL",2044,"Biopower",0.00946017267195874
"AL",2044,"Coal",0.03333382117664
"AL",2046,"Oil-Gas-Steam",0
"AL",2046,"Utility PV",0.0574640840541831
"AL",2046,"Imports",0
"AL",2046,"Land-based Wind",0.00469603493783767
"AL",2046,"NG-CT",0
"AL",2046,"CSP",0
"AL",2046,"Coal",0.0323050058151133
"AL",2046,"NG-CC",0.569793750417336
"AL",2046,"Biopower",0.00850038144576224
"AL",2046,"Geothermal",0
"AL",2046,"Nuclear",0.266052266692245
"AL",2046,"Hydro",0.0567669241441621
"AL",2046,"Offshore Wind",0
"AL",2046,"Rooftop PV",0.00442155249336108
"AL",2048,"NG-CT",0
"AL",2048,"Nuclear",0.267925301725689
"AL",2048,"Hydro",0.0572555244647197
"AL",2048,"CSP",0
"AL",2048,"Offshore Wind",0
"AL",2048,"Coal",0
"AL",2048,"Geothermal",0
"AL",2048,"Utility PV",0.0572275506846629
"AL",2048,"Oil-Gas-Steam",0
"AL",2048,"Imports",0
"AL",2048,"NG-CC",0.599554847875595
"AL",2048,"Biopower",0.00856022499621759
"AL",2048,"Rooftop PV",0.00468076570594636
"AL",2048,"Land-based Wind",0.00479578454716928
"AL",2050,"Offshore Wind",0
"AL",2050,"Nuclear",0.25330867975423
"AL",2050,"NG-CT",0
"AL",2050,"Coal",0
"AL",2050,"Utility PV",0.0536248969748992
"AL",2050,"Oil-Gas-Steam",0
"AL",2050,"Biopower",0.00809322329106153
"AL",2050,"Imports",0
"AL",2050,"NG-CC",0.62164892604263
"AL",2050,"Hydro",0.0541319584876054
"AL",2050,"CSP",0
"AL",2050,"Geothermal",0
"AL",2050,"Rooftop PV",0.00465224197549432
"AL",2050,"Land-based Wind",0.00454007347407933
"AR",2010,"Nuclear",0.27152857457886
"AR",2010,"Imports",0
"AR",2010,"Oil-Gas-Steam",0
"AR",2010,"Biopower",0.00131652098916041
"AR",2010,"NG-CT",0.000576864550947088
"AR",2010,"Offshore Wind",0
"AR",2010,"Utility PV",0
"AR",2010,"Land-based Wind",0
"AR",2010,"Coal",0.193408310969652
"AR",2010,"Geothermal",0
"AR",2010,"Rooftop PV",0
"AR",2010,"NG-CC",0.459260462711003
"AR",2010,"CSP",0
"AR",2010,"Hydro",0.0739092662003774
"AR",2012,"Imports",0
"AR",2012,"Oil-Gas-Steam",0
"AR",2012,"Geothermal",0
"AR",2012,"Utility PV",0
"AR",2012,"Land-based Wind",0
"AR",2012,"Nuclear",0.250374850332345
"AR",2012,"Coal",0.0452708424087697
"AR",2012,"Rooftop PV",0
"AR",2012,"NG-CC",0.657831391709798
"AR",2012,"Biopower",0.00121395601229695
"AR",2012,"Hydro",0.0447770362361598
"AR",2012,"NG-CT",0.000531923300630244
"AR",2012,"Offshore Wind",0
"AR",2012,"CSP",0
"AR",2014,"Oil-Gas-Steam",0
"AR",2014,"Hydro",0.0468637071320219
"AR",2014,"Offshore Wind",0
"AR",2014,"Biopower",0.00127261521418419
"AR",2014,"Nuclear",0.262473137868598
"AR",2014,"Geothermal",0
"AR",2014,"Utility PV",0
"AR",2014,"NG-CT",0.000526473903812343
"AR",2014,"CSP",0
"AR",2014,"Imports",0
"AR",2014,"Land-based Wind",0
"AR",2014,"Coal",0.255721495313416
"AR",2014,"NG-CC",0.433083822326142
"AR",2014,"Rooftop PV",5.87482418260169e-05
"AR",2016,"Geothermal",0
"AR",2016,"Nuclear",0.243480777332112
"AR",2016,"Coal",0.0734627583093039
"AR",2016,"Utility PV",3.22391040431254e-05
"AR",2016,"NG-CC",0.631160583727545
"AR",2016,"Oil-Gas-Steam",0
"AR",2016,"Imports",0
"AR",2016,"Rooftop PV",6.97947536449915e-05
"AR",2016,"Offshore Wind",0
"AR",2016,"CSP",0
"AR",2016,"Hydro",0.0492674175155714
"AR",2016,"NG-CT",0.00134589953153676
"AR",2016,"Biopower",0.00118052972624331
"AR",2016,"Land-based Wind",0
"AR",2018,"Hydro",0.0547437775987655
"AR",2018,"Biopower",0.00131175247336171
"AR",2018,"Nuclear",0.270545082246921
"AR",2018,"Oil-Gas-Steam",0
"AR",2018,"Rooftop PV",0.000196787591594934
"AR",2018,"Utility PV",0.00367363795983491
"AR",2018,"NG-CC",0.533858533303254
"AR",2018,"Land-based Wind",0
"AR",2018,"Geothermal",0
"AR",2018,"Imports",0
"AR",2018,"NG-CT",0.000522084962526355
"AR",2018,"Offshore Wind",0
"AR",2018,"Coal",0.135148343863742
"AR",2018,"CSP",0
"AR",2020,"NG-CT",0.00102830376671149
"AR",2020,"Utility PV",0.0037135082430652
"AR",2020,"Coal",0.199855946539226
"AR",2020,"Rooftop PV",0.0002283585105587
"AR",2020,"Offshore Wind",0
"AR",2020,"Hydro",0.0559018257048078
"AR",2020,"NG-CC",0.46166437180004
"AR",2020,"Geothermal",0
"AR",2020,"CSP",0
"AR",2020,"Biopower",0.0013395012428841
"AR",2020,"Imports",0
"AR",2020,"Oil-Gas-Steam",0
"AR",2020,"Nuclear",0.276268184192706
"AR",2020,"Land-based Wind",0
"AR",2022,"NG-CC",0.473373644922901
"AR",2022,"Imports",0
"AR",2022,"Rooftop PV",0.000256646940363827
"AR",2022,"Coal",0.194326734331803
"AR",2022,"Nuclear",0.270300108243432
"AR",2022,"NG-CT",0.000521612223408832
"AR",2022,"Offshore Wind",0
"AR",2022,"Biopower",0.00131056470364763
"AR",2022,"Geothermal",0
"AR",2022,"Utility PV",0.00359744735271812
"AR",2022,"Oil-Gas-Steam",0
"AR",2022,"Land-based Wind",0.00161903324916022
"AR",2022,"CSP",0
"AR",2022,"Hydro",0.0546942080325657
"AR",2024,"Coal",0.20732391659969
"AR",2024,"Utility PV",0.00369302951289109
"AR",2024,"Oil-Gas-Steam",0
"AR",2024,"Rooftop PV",0.000340513051093348
"AR",2024,"Biopower",0.00135950060976769
"AR",2024,"Geothermal",0
"AR",2024,"NG-CT",0.000541088993021782
"AR",2024,"Offshore Wind",0
"AR",2024,"NG-CC",0.44793300376084
"AR",2024,"CSP",0
"AR",2024,"Land-based Wind",0.00167948723427491
"AR",2024,"Hydro",0.0567364655587627
"AR",2024,"Imports",0
"AR",2024,"Nuclear",0.280392994679658
"AR",2026,"Coal",0.232745912803333
"AR",2026,"Biopower",0.0015240684980116
"AR",2026,"Offshore Wind",0
"AR",2026,"CSP",0
"AR",2026,"Oil-Gas-Steam",0
"AR",2026,"Rooftop PV",0.000613559338841867
"AR",2026,"NG-CT",0.000606587950722751
"AR",2026,"Land-based Wind",0.00188278958330765
"AR",2026,"Utility PV",0.0120925338935963
"AR",2026,"Imports",0
"AR",2026,"Geothermal",0
"AR",2026,"Hydro",0.0636044288802533
"AR",2026,"NG-CC",0.37259548235955
"AR",2026,"Nuclear",0.314334636692383
"AR",2028,"Utility PV",0.0126026891334521
"AR",2028,"Offshore Wind",0
"AR",2028,"Biopower",0.00160158407787087
"AR",2028,"Rooftop PV",0.00109361918101923
"AR",2028,"CSP",0
"AR",2028,"Land-based Wind",0.0019785500602767
"AR",2028,"Coal",0.241704991411376
"AR",2028,"Imports",0
"AR",2028,"NG-CT",0.000637439593412872
"AR",2028,"Nuclear",0.330321996620663
"AR",2028,"Oil-Gas-Steam",0
"AR",2028,"Geothermal",0
"AR",2028,"Hydro",0.0668394108989114
"AR",2028,"NG-CC",0.343219719023018
"AR",2030,"Utility PV",0.0501718740342514
"AR",2030,"Offshore Wind",0
"AR",2030,"Biopower",0.00175769837525298
"AR",2030,"Land-based Wind",0.00216805502671989
"AR",2030,"Rooftop PV",0.00219662437866008
"AR",2030,"CSP",0
"AR",2030,"NG-CT",0.000699573973758037
"AR",2030,"Oil-Gas-Steam",0
"AR",2030,"Nuclear",0.362520110428615
"AR",2030,"Imports",0
"AR",2030,"Geothermal",0
"AR",2030,"Hydro",0.0733545778602297
"AR",2030,"Coal",0.26612123310351
"AR",2030,"NG-CC",0.241010252819003
"AR",2032,"Utility PV",0.0470543037858374
"AR",2032,"Offshore Wind",0
"AR",2032,"Biopower",0.00166140305157232
"AR",2032,"Rooftop PV",0.00402788901164453
"AR",2032,"CSP",0
"AR",2032,"Land-based Wind",0.014538785259055
"AR",2032,"Nuclear",0.342659483676059
"AR",2032,"Imports",0
"AR",2032,"NG-CT",0.000661247885966153
"AR",2032,"Oil-Gas-Steam",0
"AR",2032,"Coal",0.248229529330563
"AR",2032,"Geothermal",0
"AR",2032,"Hydro",0.0693358548995894
"AR",2032,"NG-CC",0.271831503099713
"AR",2034,"Utility PV",0.0374023445333664
"AR",2034,"Offshore Wind",0
"AR",2034,"Biopower",0.00133395059706214
"AR",2034,"Land-based Wind",0.0116732789545081
"AR",2034,"NG-CC",0.424298122975093
"AR",2034,"Imports",0
"AR",2034,"CSP",0
"AR",2034,"Oil-Gas-Steam",0
"AR",2034,"Rooftop PV",0.00652991948954914
"AR",2034,"NG-CT",0.000291461380465674
"AR",2034,"Hydro",0.0556701788609274
"AR",2034,"Geothermal",0
"AR",2034,"Nuclear",0.275123379848197
"AR",2034,"Coal",0.187677363360831
"AR",2036,"Land-based Wind",0.0154567804789929
"AR",2036,"Offshore Wind",0
"AR",2036,"Imports",0
"AR",2036,"NG-CT",0.000251241173598057
"AR",2036,"Utility PV",0.0346886073975448
"AR",2036,"Hydro",0.0521489032445395
"AR",2036,"CSP",0
"AR",2036,"Biopower",0.00124957494375887
"AR",2036,"Geothermal",0
"AR",2036,"Nuclear",0.257721149986895
"AR",2036,"Oil-Gas-Steam",0
"AR",2036,"Rooftop PV",0.0106252847329739
"AR",2036,"Coal",0.171574377563039
"AR",2036,"NG-CC",0.456284080478659
"AR",2038,"Offshore Wind",0
"AR",2038,"NG-CT",0.000230501421947297
"AR",2038,"Imports",0
"AR",2038,"Rooftop PV",0.0135467702988754
"AR",2038,"NG-CC",0.491409688459109
"AR",2038,"Biopower",0.00114642356283103
"AR",2038,"Geothermal",0
"AR",2038,"Hydro",0.0478440542953718
"AR",2038,"Nuclear",0.236446481630077
"AR",2038,"CSP",0
"AR",2038,"Oil-Gas-Steam",0
"AR",2038,"Land-based Wind",0.0216607162395358
"AR",2038,"Coal",0.156221234013323
"AR",2038,"Utility PV",0.0314941300789296
"AR",2040,"Imports",0
"AR",2040,"Rooftop PV",0.0168328312091647
"AR",2040,"Land-based Wind",0.0323907607241193
"AR",2040,"Geothermal",0
"AR",2040,"NG-CT",0
"AR",2040,"Biopower",0.00113186079017812
"AR",2040,"Utility PV",0.0308046124058705
"AR",2040,"Offshore Wind",0
"AR",2040,"Hydro",0.0472363015344496
"AR",2040,"Oil-Gas-Steam",0
"AR",2040,"NG-CC",0.484236277491038
"AR",2040,"CSP",0
"AR",2040,"Nuclear",0.233442952683014
"AR",2040,"Coal",0.153924403162166
"AR",2042,"NG-CT",0
"AR",2042,"Hydro",0.0445621836897933
"AR",2042,"CSP",0
"AR",2042,"Land-based Wind",0.034309447246597
"AR",2042,"Biopower",0.0010677844540053
"AR",2042,"Imports",0
"AR",2042,"Utility PV",0.0287763359379324
"AR",2042,"NG-CC",0.507476313801419
"AR",2042,"Oil-Gas-Steam",0
"AR",2042,"Rooftop PV",0.0184392453576366
"AR",2042,"Nuclear",0.220227397163206
"AR",2042,"Geothermal",0
"AR",2042,"Coal",0.145141292349411
"AR",2042,"Offshore Wind",0
"AR",2044,"Imports",0
"AR",2044,"Geothermal",0
"AR",2044,"CSP",0
"AR",2044,"Offshore Wind",0
"AR",2044,"NG-CT",0
"AR",2044,"Hydro",0.0425861474579598
"AR",2044,"Oil-Gas-Steam",0
"AR",2044,"Land-based Wind",0.0776200553963681
"AR",2044,"Rooftop PV",0.0189241690386187
"AR",2044,"Utility PV",0.0272008737940806
"AR",2044,"NG-CC",0.483494898626655
"AR",2044,"Nuclear",0.210461777976627
"AR",2044,"Biopower",0.00102043532085709
"AR",2044,"Coal",0.138691642388834
"AR",2046,"Oil-Gas-Steam",0
