"time","value"
2010,85525.0309827451
2012,87418.1617557608
2014,89167.3421944728
2016,89720.7402963921
2018,89792.6283082367
2020,90537.3321225101
2022,91599.3929479297
2024,93614.4391057148
2026,94893.0476391873
2028,95125.5459115502
2030,95468.4875217666
2032,95667.4325257316
2034,95934.0248687455
2036,96332.3479982479
2038,96833.8262431484
2040,97301.6932481425
2042,98031.1230929777
2044,98657.649843441
2046,99165.9194687258
2048,99699.7997203445
2050,100356.842151043
