"time","gid","value"
2010,"AL",0.0530086504472582
2010,"AR",0.0184296760955817
2010,"AZ",0.0501052016447565
2010,"CA",0.0551734049135175
2010,"CO",0.0426941283963928
2010,"CT",0.00770481131338154
2010,"DE",0.00538340041402106
2010,"FL",0.114166151827457
2010,"GA",0.0797287093562529
2010,"IA",0.0467773711361762
2010,"ID",0.000281631020557745
2010,"IL",0.0977099263839868
2010,"IN",0.100546813999316
2010,"KS",0.0264378095634502
2010,"KY",0.106624852308409
2010,"LA",0.0324062086152755
2010,"MA",0.0176114626257804
2010,"MD",0.0358539540387819
2010,"ME",0.00365305262169473
2010,"MEX",0.00299162935163021
2010,"MI",0.0759981822393621
2010,"MN",0.0355274742259574
2010,"MO",0.0715654136504257
2010,"MS",0.0213682992575604
2010,"MT",0.0203790215826046
2010,"NC",0.0807460649105446
2010,"ND",0.0316615307781127
2010,"NE",0.0305883656641555
2010,"NH",0.00557369806720929
2010,"NJ",0.018492666715957
2010,"NM",0.0330038880010766
2010,"NV",0.0151302476714051
2010,"NY",0.0363365538636505
2010,"OH",0.137749314843214
2010,"OK",0.0430012916876726
2010,"OR",0.00816767023636909
2010,"PA",0.129102212592466
2010,"RI",0.00228055953953163
2010,"SC",0.0420132390893384
2010,"SD",0.00385281066804406
2010,"TN",0.0271296800052099
2010,"TX",0.248006405527015
2010,"UT",0.0374816202291659
2010,"VA",0.0474659315535917
2010,"VT",1.23039334708789e-05
2010,"WA",0.0141071005319654
2010,"WI",0.0530672219816983
2010,"WV",0.0730884853259919
2010,"WY",0.0461686320650894
2012,"AL",0.0323671359076872
2012,"AR",0.0162807306394548
2012,"AZ",0.0517709812127362
2012,"CA",0.0404790917201757
2012,"CO",0.0390399018648609
2012,"CT",0.00672387084738686
2012,"DE",0.00410352788214643
2012,"FL",0.0858545494029597
2012,"GA",0.0405349727772362
2012,"IA",0.0439019534647694
2012,"ID",0.00050076494967541
2012,"IL",0.0747847794177816
2012,"IN",0.083129091754997
2012,"KS",0.0154031282025224
2012,"KY",0.103903247167909
2012,"LA",0.024781608040247
2012,"MA",0.0100990525737168
2012,"MD",0.0329261045787521
2012,"ME",0.00305306581403814
2012,"MEX",0.00274568451704943
2012,"MI",0.0710049354463915
2012,"MN",0.0358791449481429
2012,"MO",0.0681681026921998
2012,"MS",0.0202854695927268
2012,"MT",0.0129010683439746
2012,"NC",0.0564527968881667
2012,"ND",0.0307104596165576
2012,"NE",0.0318064783196027
2012,"NH",0.00294316880868752
2012,"NJ",0.0154151052867163
2012,"NM",0.0332715002233592
2012,"NV",0.0145339845322394
2012,"NY",0.0327986003997473
2012,"OH",0.118255644786169
2012,"OK",0.0361330084426371
2012,"OR",0.00434104982396471
2012,"PA",0.116359824403149
2012,"RI",0.0017005662193361
2012,"SC",0.0177735012497111
2012,"SD",0.00378048865350915
2012,"TN",0.0140685147725154
2012,"TX",0.233479048041897
2012,"UT",0.0380293039264219
2012,"VA",0.0366861315308942
2012,"VT",2.96514073363682e-06
2012,"WA",0.00738058462325287
2012,"WI",0.0462419376513172
2012,"WV",0.0735225351224111
2012,"WY",0.0426236136097604
2014,"AL",0.0355140867225814
2014,"AR",0.0178366788195064
2014,"AZ",0.0398055590310655
2014,"CA",0.0538013427940821
2014,"CO",0.0390309488925212
2014,"CT",0.0106937271879001
2014,"DE",0.00320531810604557
2014,"FL",0.1035193737009
2014,"GA",0.0529308655931949
2014,"IA",0.0431811397978498
2014,"ID",0.00175420512016342
2014,"IL",0.0798931245975306
2014,"IN",0.0986214539110186
2014,"KS",0.00973050441788119
2014,"KY",0.102469537016672
2014,"LA",0.0297963700913698
2014,"MA",0.0108763010876222
2014,"MD",0.015852492208126
2014,"ME",0.00187394022304836
2014,"MEX",0.00299162935163021
2014,"MI",0.0701004135294605
2014,"MN",0.0351978158182306
2014,"MO",0.0665975203489725
2014,"MS",0.0197460761468099
2014,"MT",0.0188800147034174
2014,"NC",0.0656573905085275
2014,"ND",0.0261246102301537
2014,"NE",0.0309783137789475
2014,"NH",0.00543145386542931
2014,"NJ",0.0214037775981416
2014,"NM",0.0231365882271631
2014,"NV",0.0117578635770789
2014,"NY",0.0344455742547831
2014,"OH",0.12352224294075
2014,"OK",0.0300739071766992
2014,"OR",0.0113811100783292
2014,"PA",0.110664017158281
2014,"RI",0.000162798650860959
2014,"SC",0.028829722884475
2014,"SD",0.0037231254899294
2014,"TN",0.0196833658467747
2014,"TX",0.226622582637651
2014,"UT",0.0268225446539574
2014,"VA",0.0348664923236178
2014,"VT",1.23039334708789e-05
2014,"WA",0.0182985072523641
2014,"WI",0.0500220214487216
2014,"WV",0.0951111728544041
2014,"WY",0.0458494162476844
2016,"AL",0.0338806163809793
2016,"AR",0.0211625302476849
2016,"AZ",0.0462731646634092
2016,"CA",0.0531481575366046
2016,"CO",0.0379629483113102
2016,"CT",0.0081699023766978
2016,"DE",0.00333868511270564
2016,"FL",0.0914362944469519
2016,"GA",0.0452289127517507
2016,"IA",0.0360414266475782
2016,"ID",0.00102210387906179
2016,"IL",0.0605478531250685
2016,"IN",0.073034364783546
2016,"KS",0.00527626420430492
2016,"KY",0.0812093018203964
2016,"LA",0.0297756726109971
2016,"MA",0.00811605792780365
2016,"MD",0.00949336550327892
2016,"ME",0.00281947461641126
2016,"MEX",0.000915031176730484
2016,"MI",0.0566031545286328
2016,"MN",0.0339163000339943
2016,"MO",0.0559913801632724
2016,"MS",0.0207963165360622
2016,"MT",0.00508774595750879
2016,"NC",0.055703664641014
2016,"ND",0.014586285854101
2016,"NE",0.025546078061453
2016,"NH",0.00350242645127122
2016,"NJ",0.0284480797213498
2016,"NM",0.0265734516751568
2016,"NV",0.0102682439947882
2016,"NY",0.0294310416974481
2016,"OH",0.0963097095361025
2016,"OK",0.0190624416455442
2016,"OR",0.00594573072803601
2016,"PA",0.0740379568043466
2016,"RI",0.0018141463090375
2016,"SC",0.0281174506935424
2016,"SD",0.00417347690424341
2016,"TN",0.0135518286205116
2016,"TX",0.171796037799345
2016,"UT",0.0353858786417692
2016,"VA",0.0304088368249691
2016,"VT",2.96514073363682e-06
2016,"WA",0.00582824014030382
2016,"WI",0.0424299576502551
2016,"WV",0.0873015548626166
2016,"WY",0.0306220815235027
2018,"AL",0.0328411911772228
2018,"AR",0.0171558999712601
2018,"AZ",0.0509130098141483
2018,"CA",0.0437607967917635
2018,"CO",0.0362658009098868
2018,"CT",0.00793690285150724
2018,"DE",0.00348272252067207
2018,"FL",0.0986476593968326
2018,"GA",0.0542956433391365
2018,"IA",0.0361483318403594
2018,"ID",0.000743770757973831
2018,"IL",0.0727602682597371
2018,"IN",0.0785595983262015
2018,"KS",0.00561911478772811
2018,"KY",0.0857910022725801
2018,"LA",0.0298954762449236
2018,"MA",0.00702487192034278
2018,"MD",0.0163186581205225
2018,"ME",0.00203856117960543
2018,"MEX",0.00299162935163021
2018,"MI",0.0648417105940697
2018,"MN",0.0309040677726356
2018,"MO",0.0612268928103603
2018,"MS",0.0139673682871691
2018,"MT",0.00993488869173177
2018,"NC",0.0613415999074491
2018,"ND",0.012892522131111
2018,"NE",0.024968467329839
2018,"NH",0.00321773514698494
2018,"NJ",0.0292411124262678
2018,"NM",0.0206468554966102
2018,"NV",0.0091855248795576
2018,"NY",0.0336547783322946
2018,"OH",0.100626746305891
2018,"OK",0.0167015713137996
2018,"OR",0.00634353391642238
2018,"PA",0.0825132864557442
2018,"RI",0.000844032703750088
2018,"SC",0.0268266743632811
2018,"SD",0.00245519722027203
2018,"TN",0.021619064965194
2018,"TX",0.167314183075656
2018,"UT",0.0362637532256791
2018,"VA",0.0260113820893161
2018,"VT",4.96819138292823e-06
2018,"WA",0.00919102201394915
2018,"WI",0.0476264581691175
2018,"WV",0.0879339691762103
2018,"WY",0.0374103365162391
2020,"AL",0.0362843279758756
2020,"AR",0.0151534717397736
2020,"AZ",0.0462178047770556
2020,"CA",0.039588924936671
2020,"CO",0.0323576235723729
2020,"CT",0.00836378046402248
2020,"DE",0.00299634271797343
2020,"FL",0.105749158770016
2020,"GA",0.0660041652436504
2020,"IA",0.0345617862660946
2020,"ID",0.000702906127499143
2020,"IL",0.0824411583518253
2020,"IN",0.0829584770894947
2020,"KS",0.00582928859102405
2020,"KY",0.085796649108717
2020,"LA",0.0269772846729304
2020,"MA",0.00857060601153298
2020,"MD",0.013649422162225
2020,"ME",0.00197655112795187
2020,"MEX",0.00240751036950087
2020,"MI",0.063470730002034
2020,"MN",0.0292529647202192
2020,"MO",0.0662824189887319
2020,"MS",0.0135154350346641
2020,"MT",0.0107270459191873
2020,"NC",0.065435919438241
2020,"ND",0.0105932204381662
2020,"NE",0.0208630866362837
2020,"NH",0.00325408901020387
2020,"NJ",0.029643288402094
2020,"NM",0.0206120522605096
2020,"NV",0.00932051095155582
2020,"NY",0.0311166621077703
2020,"OH",0.103142553735251
2020,"OK",0.0174786836260011
2020,"OR",0.00447087026172154
2020,"PA",0.09199455403738
2020,"RI",0.000971589194449328
2020,"SC",0.02743946915157
2020,"SD",0.00180637810715965
2020,"TN",0.0282836777726093
2020,"TX",0.150431936624043
2020,"UT",0.0376603303881763
2020,"VA",0.026533665731383
2020,"VT",2.04039958897662e-05
2020,"WA",0.00504053922019953
2020,"WI",0.0510039747781969
2020,"WV",0.088513928919393
2020,"WY",0.0298944595103179
2022,"AL",0.0359777297064316
2022,"AR",0.0152462827426259
2022,"AZ",0.0447279521261916
2022,"CA",0.0395926577771871
2022,"CO",0.0353896312863139
2022,"CT",0.00930723809502016
2022,"DE",0.0031382990466926
2022,"FL",0.104966844348648
2022,"GA",0.0703949002850665
2022,"IA",0.0393902515426398
2022,"ID",0.000790074464024902
2022,"IL",0.0827487622444466
2022,"IN",0.105214655335252
2022,"KS",0.00731444904038231
2022,"KY",0.0851150330683151
2022,"LA",0.0272968631865781
2022,"MA",0.00669077571698049
2022,"MD",0.0188963749292873
2022,"ME",0.00194041097584692
2022,"MEX",0.00269295781593126
2022,"MI",0.0648462214370812
2022,"MN",0.0286826074420915
2022,"MO",0.061275629302873
2022,"MS",0.0129156495448974
2022,"MT",0.015015650739708
2022,"NC",0.0637206799251828
2022,"ND",0.0110269946863745
2022,"NE",0.0190128454619629
2022,"NH",0.00380065311463549
2022,"NJ",0.028792075927684
2022,"NM",0.0209929617525964
2022,"NV",0.00885798282624335
2022,"NY",0.0261618166022508
2022,"OH",0.110765373186821
2022,"OK",0.0173154657123889
2022,"OR",0.00429232197288825
